metric,mean,std
accuracy,0.8924584785318481,0.055982201356565044
auroc,0.9318358699652075,0.057537046708992796
pr_auc,0.8703158308322181,0.10254450110583802
f1,0.7760944042634182,0.11913983662769019
sensitivity,0.7148863148863148,0.13508178895704695
specificity,0.9578215196918276,0.03093175433162674
tn,104.8,10.521406750050108
fp,4.8,3.6331804249169903
fn,11.6,6.024948132556828
tp,28.2,3.96232255123179
best_epoch,11.4,1.140175425099138
best_val_loss,0.2851357332341083,0.11903782245909801
n_val_images,149.4,12.837445228704969
