metric,mean,std
accuracy,0.9671500643647383,0.020115186021819272
auroc,0.9875437778089005,0.01205661938784282
pr_auc,0.9788049010328133,0.017993033918357222
f1,0.9374272147605481,0.03742023246494462
sensitivity,0.9285714285714285,0.07142857142857142
specificity,0.9819149277402506,0.01266954630146353
tn,107.6,12.136721138759018
fp,2.0,1.4142135623730951
fn,3.0,3.0
tp,36.8,1.3038404810405297
best_epoch,9.0,5.049752469181039
best_val_loss,0.10772496549503978,0.06614160177288618
n_val_images,149.4,12.837445228704969
